"","Cell","Batch","Group","ExpLibSize"
"Cell68","Cell68","Batch1","Group2",67999.9731301304
"Cell69","Cell69","Batch1","Group2",46671.6822631946
"Cell70","Cell70","Batch1","Group1",56090.1979918556
"Cell71","Cell71","Batch1","Group1",64689.892694076
"Cell72","Cell72","Batch1","Group2",60105.8889241901
"Cell73","Cell73","Batch1","Group1",37100.8541460928
"Cell74","Cell74","Batch1","Group1",62449.9111597464
"Cell75","Cell75","Batch1","Group2",72712.5656539547
"Cell76","Cell76","Batch1","Group1",51134.6449638671
"Cell77","Cell77","Batch1","Group1",74829.3263141738
"Cell78","Cell78","Batch1","Group1",46337.2273637541
"Cell79","Cell79","Batch1","Group2",52417.883043651
"Cell80","Cell80","Batch1","Group1",46162.6634079268
"Cell81","Cell81","Batch1","Group1",38452.8495423222
"Cell82","Cell82","Batch1","Group2",57100.0381456062
"Cell83","Cell83","Batch1","Group2",60713.9475895472
"Cell84","Cell84","Batch1","Group1",49139.3024717782
"Cell85","Cell85","Batch1","Group1",47777.0145108064
"Cell86","Cell86","Batch1","Group2",79770.0016628943
"Cell87","Cell87","Batch1","Group2",49080.9072164182
"Cell88","Cell88","Batch1","Group2",77243.6491638048
"Cell89","Cell89","Batch1","Group1",58075.8837934415
"Cell90","Cell90","Batch1","Group2",76680.442989935
"Cell91","Cell91","Batch1","Group1",41694.0401566131
"Cell92","Cell92","Batch1","Group2",44376.2869064119
"Cell93","Cell93","Batch1","Group1",58674.7953212865
"Cell94","Cell94","Batch1","Group2",47261.5044582
"Cell95","Cell95","Batch1","Group1",79886.9539835846
"Cell96","Cell96","Batch1","Group2",54528.6169107159
"Cell97","Cell97","Batch1","Group2",41415.7064380568
"Cell98","Cell98","Batch1","Group1",73001.8700229989
"Cell99","Cell99","Batch1","Group1",89755.1814062843
"Cell100","Cell100","Batch1","Group1",44513.7053213777
"Cell101","Cell101","Batch1","Group1",62989.7044873265
"Cell102","Cell102","Batch1","Group2",47529.0886142286
"Cell103","Cell103","Batch1","Group2",75988.6554554624
"Cell104","Cell104","Batch1","Group2",90536.1768249616
"Cell105","Cell105","Batch1","Group2",94823.8787722226
"Cell106","Cell106","Batch1","Group1",49122.8543610746
"Cell107","Cell107","Batch1","Group2",42077.1569298843
"Cell108","Cell108","Batch1","Group2",66049.0885303404
"Cell109","Cell109","Batch1","Group2",63946.145581839
"Cell110","Cell110","Batch1","Group1",60379.7524695602
"Cell111","Cell111","Batch1","Group2",75355.6373054194
"Cell112","Cell112","Batch1","Group2",54058.2241139477
"Cell113","Cell113","Batch1","Group2",56377.700865362
"Cell114","Cell114","Batch1","Group1",52075.8582710027
"Cell115","Cell115","Batch1","Group2",52525.6693840034
"Cell116","Cell116","Batch1","Group1",45263.1825033781
"Cell117","Cell117","Batch1","Group2",82832.4053400904
"Cell118","Cell118","Batch1","Group1",81515.783905746
"Cell119","Cell119","Batch1","Group1",69001.9017848596
"Cell120","Cell120","Batch1","Group1",76531.8150646352
"Cell121","Cell121","Batch1","Group1",71215.7026026029
"Cell122","Cell122","Batch1","Group2",60914.8506700895
"Cell123","Cell123","Batch1","Group1",57287.6860759722
"Cell124","Cell124","Batch1","Group2",58378.3002780851
"Cell125","Cell125","Batch1","Group2",59818.6413800513
"Cell126","Cell126","Batch1","Group1",54925.3371048627
"Cell127","Cell127","Batch1","Group2",75185.7656717264
"Cell128","Cell128","Batch1","Group1",59574.5223432896
"Cell129","Cell129","Batch1","Group1",55627.6194040976
"Cell130","Cell130","Batch1","Group2",58090.1202886826
"Cell131","Cell131","Batch1","Group2",64668.0698874306
"Cell132","Cell132","Batch1","Group2",50649.376885276
"Cell133","Cell133","Batch1","Group1",62778.87881696
"Cell134","Cell134","Batch1","Group1",48916.6640718123
"Cell135","Cell135","Batch1","Group2",37207.3032610766
"Cell136","Cell136","Batch1","Group2",49280.1872098345
"Cell137","Cell137","Batch1","Group1",58090.7013461844
"Cell138","Cell138","Batch1","Group2",62452.3949114084
"Cell139","Cell139","Batch1","Group1",51818.4037512953
"Cell140","Cell140","Batch1","Group2",61351.3046195334
"Cell141","Cell141","Batch1","Group1",63533.5826471473
"Cell142","Cell142","Batch1","Group1",45761.8451011318
"Cell143","Cell143","Batch1","Group2",52029.0960800524
"Cell144","Cell144","Batch1","Group1",54432.990344129
"Cell145","Cell145","Batch1","Group2",63850.7772623617
"Cell146","Cell146","Batch1","Group2",67154.0261135131
"Cell147","Cell147","Batch1","Group2",48559.5745804938
"Cell148","Cell148","Batch1","Group1",66760.3109958644
"Cell149","Cell149","Batch1","Group2",42331.6606474943
"Cell150","Cell150","Batch1","Group1",56440.9377738225
"Cell151","Cell151","Batch1","Group1",78595.7935553519
"Cell152","Cell152","Batch1","Group1",73104.9225983765
"Cell153","Cell153","Batch1","Group2",64304.0091301894
"Cell154","Cell154","Batch1","Group2",58117.1954449237
"Cell155","Cell155","Batch1","Group1",61311.7698116075
"Cell156","Cell156","Batch1","Group2",58268.2214424776
"Cell157","Cell157","Batch1","Group1",82408.9769658129
"Cell158","Cell158","Batch1","Group1",67515.7109433451
"Cell159","Cell159","Batch1","Group2",50155.8266737633
"Cell160","Cell160","Batch1","Group2",39646.0794825041
"Cell161","Cell161","Batch1","Group1",67582.3376526911
"Cell162","Cell162","Batch1","Group2",61895.9760401411
"Cell163","Cell163","Batch1","Group2",75396.4515371181
"Cell164","Cell164","Batch1","Group2",47831.804790556
"Cell165","Cell165","Batch1","Group1",86538.2972186153
"Cell166","Cell166","Batch1","Group2",71594.6368669623
"Cell167","Cell167","Batch1","Group2",61695.0910451881
"Cell168","Cell168","Batch1","Group2",95094.7835154729
"Cell169","Cell169","Batch1","Group1",58853.2717479616
"Cell170","Cell170","Batch1","Group1",50796.003025429
"Cell171","Cell171","Batch1","Group2",78144.3947434111
"Cell172","Cell172","Batch1","Group2",63767.8981826079
"Cell173","Cell173","Batch1","Group2",67037.0359082363
"Cell174","Cell174","Batch1","Group1",54331.9274816041
"Cell175","Cell175","Batch1","Group2",73721.1191994393
"Cell176","Cell176","Batch1","Group2",42366.6582573919
"Cell177","Cell177","Batch1","Group2",60919.4481033543
"Cell178","Cell178","Batch1","Group1",59651.0351054255
"Cell179","Cell179","Batch1","Group2",58594.1909600457
"Cell180","Cell180","Batch1","Group2",94964.9296144629
"Cell181","Cell181","Batch1","Group1",111533.136469045
"Cell182","Cell182","Batch1","Group2",56497.7258858481
"Cell183","Cell183","Batch1","Group1",79928.7818267162
"Cell184","Cell184","Batch1","Group2",81613.393520178
"Cell185","Cell185","Batch1","Group1",59855.7981724447
"Cell186","Cell186","Batch1","Group2",70016.3007865949
"Cell187","Cell187","Batch1","Group1",81111.8224467383
"Cell188","Cell188","Batch1","Group1",70272.7026542795
"Cell189","Cell189","Batch1","Group2",69508.8690015245
"Cell190","Cell190","Batch1","Group1",42330.0609427691
"Cell191","Cell191","Batch1","Group2",50636.8980775436
"Cell192","Cell192","Batch1","Group1",73993.6338074748
"Cell193","Cell193","Batch1","Group1",77931.6105725953
"Cell194","Cell194","Batch1","Group2",40207.5644731626
"Cell195","Cell195","Batch1","Group1",60945.502495593
"Cell196","Cell196","Batch1","Group2",41264.666725443
"Cell197","Cell197","Batch1","Group1",55182.4357860047
"Cell198","Cell198","Batch1","Group1",78013.2151194599
"Cell199","Cell199","Batch1","Group2",56111.3735154283
"Cell200","Cell200","Batch1","Group1",59947.4032021749
"Cell201","Cell201","Batch1","Group1",85069.9825840805
"Cell202","Cell202","Batch1","Group1",68233.5656357456
"Cell203","Cell203","Batch1","Group2",42857.8299388392
"Cell204","Cell204","Batch1","Group2",76196.122673753
"Cell205","Cell205","Batch1","Group1",53207.8652576839
"Cell206","Cell206","Batch1","Group2",64156.7048256705
"Cell207","Cell207","Batch1","Group2",41386.3670424924
"Cell208","Cell208","Batch1","Group2",76326.5850286394
"Cell209","Cell209","Batch1","Group2",56888.6412704962
"Cell210","Cell210","Batch1","Group2",64515.4286830515
"Cell211","Cell211","Batch1","Group2",75816.9438382694
"Cell212","Cell212","Batch1","Group2",65209.2680830015
"Cell213","Cell213","Batch1","Group2",66205.7255043614
"Cell214","Cell214","Batch1","Group2",49346.4330661397
"Cell215","Cell215","Batch1","Group2",59940.4990569648
"Cell216","Cell216","Batch1","Group2",61830.0897131145
"Cell217","Cell217","Batch1","Group2",46517.3704335266
"Cell218","Cell218","Batch1","Group1",64123.3620663485
"Cell219","Cell219","Batch1","Group2",75188.9313977786
"Cell220","Cell220","Batch1","Group2",77051.0414319072
"Cell221","Cell221","Batch1","Group2",52388.8988179409
"Cell222","Cell222","Batch1","Group2",53290.6983375765
"Cell223","Cell223","Batch1","Group1",60670.9205469233
"Cell224","Cell224","Batch1","Group2",68627.5276165643
"Cell225","Cell225","Batch1","Group1",67886.3360710363
"Cell226","Cell226","Batch1","Group1",60228.6791330201
"Cell227","Cell227","Batch1","Group2",71406.126782259
"Cell228","Cell228","Batch1","Group2",90362.4398202133
"Cell229","Cell229","Batch1","Group1",42739.6797500924
"Cell230","Cell230","Batch1","Group2",64954.6329766257
"Cell231","Cell231","Batch1","Group1",61699.639914406
"Cell232","Cell232","Batch1","Group2",71455.1480800421
"Cell233","Cell233","Batch1","Group1",55009.5237798243
"Cell234","Cell234","Batch1","Group2",55731.838147158
"Cell235","Cell235","Batch1","Group1",72124.2187423771
"Cell236","Cell236","Batch1","Group2",49076.8039424242
"Cell237","Cell237","Batch1","Group2",63422.9169041131
"Cell238","Cell238","Batch1","Group1",68791.5312663129
"Cell239","Cell239","Batch1","Group1",56571.1177276488
"Cell240","Cell240","Batch1","Group2",56851.7767012258
"Cell241","Cell241","Batch1","Group2",56143.9744101961
"Cell242","Cell242","Batch1","Group2",62951.817832455
"Cell243","Cell243","Batch1","Group2",56586.0760955459
"Cell244","Cell244","Batch1","Group2",55750.7638486055
"Cell245","Cell245","Batch1","Group1",54715.0098941159
"Cell246","Cell246","Batch1","Group2",43741.8745050224
"Cell247","Cell247","Batch1","Group1",64544.208800803
"Cell248","Cell248","Batch1","Group1",46339.7024061279
"Cell249","Cell249","Batch1","Group1",57463.7901166393
"Cell250","Cell250","Batch1","Group2",81126.2400838844
"Cell251","Cell251","Batch1","Group2",31501.3795078229
"Cell252","Cell252","Batch1","Group2",40905.5711114367
"Cell253","Cell253","Batch1","Group1",84894.3331415969
"Cell254","Cell254","Batch1","Group2",61204.6145875044
"Cell255","Cell255","Batch1","Group2",76009.5049618519
"Cell256","Cell256","Batch1","Group2",53340.3453643371
"Cell257","Cell257","Batch1","Group1",57889.6868745152
"Cell258","Cell258","Batch1","Group2",81204.4342720314
"Cell259","Cell259","Batch1","Group2",63002.9921706929
"Cell260","Cell260","Batch1","Group1",60134.0867868081
"Cell261","Cell261","Batch1","Group2",69656.0892620643
"Cell262","Cell262","Batch1","Group2",70294.7660947856
"Cell263","Cell263","Batch1","Group2",47707.0592980516
"Cell264","Cell264","Batch1","Group2",56592.510062602
"Cell265","Cell265","Batch1","Group2",61383.8048222124
"Cell266","Cell266","Batch1","Group2",47188.0927664549
"Cell267","Cell267","Batch1","Group2",67091.8968072219
"Cell268","Cell268","Batch1","Group2",45758.9922695962
"Cell269","Cell269","Batch1","Group1",62297.9026997154
"Cell270","Cell270","Batch1","Group2",67724.482356762
"Cell271","Cell271","Batch1","Group1",74877.123525703
"Cell272","Cell272","Batch1","Group2",41631.027593592
"Cell273","Cell273","Batch1","Group2",61462.9019524916
"Cell274","Cell274","Batch1","Group1",56343.0196937162
"Cell275","Cell275","Batch1","Group1",71409.5721986113
"Cell276","Cell276","Batch1","Group2",57227.7103634336
"Cell277","Cell277","Batch1","Group2",63174.063738607
"Cell278","Cell278","Batch1","Group1",63310.718547637
"Cell279","Cell279","Batch1","Group1",47694.3237470218
"Cell280","Cell280","Batch1","Group2",59370.0527700727
"Cell281","Cell281","Batch1","Group1",51806.543481769
"Cell282","Cell282","Batch1","Group1",42757.7688061824
"Cell283","Cell283","Batch1","Group1",48149.6238040351
"Cell284","Cell284","Batch1","Group1",39192.9436765441
"Cell285","Cell285","Batch1","Group2",46454.0395363097
"Cell286","Cell286","Batch1","Group1",65283.7918260799
"Cell287","Cell287","Batch1","Group2",52998.4632701396
"Cell288","Cell288","Batch1","Group2",58296.8644506027
"Cell289","Cell289","Batch1","Group2",45722.387648757
"Cell290","Cell290","Batch1","Group1",66780.5599443049
"Cell291","Cell291","Batch1","Group2",50338.8714682391
"Cell292","Cell292","Batch1","Group2",66540.1610780249
"Cell293","Cell293","Batch1","Group2",41263.7104368351
"Cell294","Cell294","Batch1","Group1",49959.6328423595
"Cell295","Cell295","Batch1","Group2",64977.1979273557
"Cell296","Cell296","Batch1","Group2",32550.9106063361
"Cell297","Cell297","Batch1","Group1",56170.4996479065
"Cell298","Cell298","Batch1","Group1",51514.3595300312
"Cell299","Cell299","Batch1","Group1",46238.7913813687
"Cell300","Cell300","Batch1","Group2",56967.8973037074
"Cell301","Cell301","Batch1","Group1",56011.5794318012
"Cell302","Cell302","Batch1","Group1",55923.2410800399
"Cell303","Cell303","Batch1","Group1",87015.4513775266
"Cell304","Cell304","Batch1","Group1",87012.8610750669
"Cell305","Cell305","Batch1","Group1",59321.9073809529
"Cell306","Cell306","Batch1","Group1",61073.3585769289
"Cell307","Cell307","Batch1","Group1",50976.1590933745
"Cell308","Cell308","Batch1","Group1",73253.7685047268
"Cell309","Cell309","Batch1","Group1",46660.0833597016
"Cell310","Cell310","Batch1","Group1",55643.6683913442
"Cell311","Cell311","Batch1","Group1",53744.4212967021
"Cell312","Cell312","Batch1","Group2",75638.9809816477
"Cell313","Cell313","Batch1","Group2",75113.9268361909
"Cell314","Cell314","Batch1","Group1",46457.724109368
"Cell315","Cell315","Batch1","Group2",35538.4869540824
"Cell316","Cell316","Batch1","Group2",43745.9811910686
"Cell317","Cell317","Batch1","Group2",61205.6473269697
"Cell318","Cell318","Batch1","Group2",59731.5622661629
"Cell319","Cell319","Batch1","Group2",69959.2734101919
"Cell320","Cell320","Batch1","Group1",74270.9855625915
"Cell321","Cell321","Batch1","Group2",71394.6331957027
"Cell322","Cell322","Batch1","Group1",45273.3196410341
"Cell323","Cell323","Batch1","Group2",69001.8287153473
"Cell324","Cell324","Batch1","Group2",57778.8137164307
"Cell325","Cell325","Batch1","Group2",77201.8957693404
"Cell326","Cell326","Batch1","Group1",41441.2430999261
"Cell327","Cell327","Batch1","Group2",52588.6426537072
"Cell328","Cell328","Batch1","Group2",41781.2829895505
"Cell329","Cell329","Batch1","Group1",69413.1264421751
"Cell330","Cell330","Batch1","Group1",61872.7147533555
"Cell331","Cell331","Batch1","Group1",54442.1614635738
"Cell332","Cell332","Batch1","Group2",62715.9929993485
"Cell333","Cell333","Batch1","Group2",66389.5533351849
"Cell334","Cell334","Batch1","Group1",57142.9946614882
"Cell335","Cell335","Batch1","Group2",48478.0348288545
"Cell336","Cell336","Batch1","Group1",69183.6415642217
"Cell337","Cell337","Batch1","Group1",54775.8639294003
"Cell338","Cell338","Batch1","Group1",64729.6403571148
"Cell339","Cell339","Batch1","Group2",62821.4735131605
"Cell340","Cell340","Batch1","Group1",63244.8505407582
"Cell341","Cell341","Batch1","Group1",47493.0336216516
"Cell342","Cell342","Batch1","Group1",34207.4334828603
"Cell343","Cell343","Batch1","Group1",54195.3533929593
"Cell344","Cell344","Batch1","Group2",59378.1992753881
"Cell345","Cell345","Batch1","Group2",72980.1682058515
"Cell346","Cell346","Batch1","Group1",62598.6135326408
"Cell347","Cell347","Batch1","Group2",50994.3078082834
"Cell348","Cell348","Batch1","Group1",99188.5788945096
"Cell349","Cell349","Batch1","Group2",67266.7685133109
"Cell350","Cell350","Batch1","Group1",74097.1446741447
"Cell351","Cell351","Batch1","Group2",61083.2986669902
"Cell352","Cell352","Batch1","Group2",60771.8839877678
"Cell353","Cell353","Batch1","Group1",64782.8844122442
"Cell354","Cell354","Batch1","Group1",81909.9487293352
"Cell355","Cell355","Batch1","Group2",53170.1978474997
"Cell356","Cell356","Batch1","Group2",56789.4449451428
"Cell357","Cell357","Batch1","Group2",74937.3385449721
"Cell358","Cell358","Batch1","Group1",45012.2673586911
"Cell359","Cell359","Batch1","Group1",62704.7414198318
"Cell360","Cell360","Batch1","Group1",67295.5974337045
"Cell361","Cell361","Batch1","Group1",47726.554256635
"Cell362","Cell362","Batch1","Group2",91148.8300104077
"Cell363","Cell363","Batch1","Group2",63364.9337529867
"Cell364","Cell364","Batch1","Group2",38962.2849983188
"Cell365","Cell365","Batch1","Group2",54721.9916819939
"Cell366","Cell366","Batch1","Group1",48543.2024400334
"Cell367","Cell367","Batch1","Group2",50421.5591765443
"Cell368","Cell368","Batch1","Group1",39814.6616084233
"Cell369","Cell369","Batch1","Group2",71517.1676644318
"Cell370","Cell370","Batch1","Group1",67342.4390963371
"Cell371","Cell371","Batch1","Group2",45642.9023467794
"Cell372","Cell372","Batch1","Group2",72862.3418604698
"Cell373","Cell373","Batch1","Group2",55701.0487031433
"Cell374","Cell374","Batch1","Group1",47803.4105741057
"Cell375","Cell375","Batch1","Group1",49934.5293645706
"Cell376","Cell376","Batch1","Group2",53345.2822663792
"Cell377","Cell377","Batch1","Group2",60097.1613646707
"Cell378","Cell378","Batch1","Group2",91027.3027839556
"Cell379","Cell379","Batch1","Group2",70423.9662587513
"Cell380","Cell380","Batch1","Group1",52772.6335881481
"Cell381","Cell381","Batch1","Group2",43256.1865203836
"Cell382","Cell382","Batch1","Group2",65650.4274312858
"Cell383","Cell383","Batch1","Group1",73254.1857671619
"Cell384","Cell384","Batch1","Group2",78383.0215730508
"Cell385","Cell385","Batch1","Group1",58661.2444718141
"Cell386","Cell386","Batch1","Group2",60646.3426439668
"Cell387","Cell387","Batch1","Group1",40774.4576086381
"Cell388","Cell388","Batch1","Group2",53799.575558179
"Cell389","Cell389","Batch1","Group2",60316.1617240617
"Cell390","Cell390","Batch1","Group1",79394.9187193012
"Cell391","Cell391","Batch1","Group2",65947.8230690014
"Cell392","Cell392","Batch1","Group2",56322.5057336056
"Cell393","Cell393","Batch1","Group2",42809.8179891402
"Cell394","Cell394","Batch1","Group2",57462.0505037798
"Cell395","Cell395","Batch1","Group1",60770.5844366329
"Cell396","Cell396","Batch1","Group1",69915.3326118951
"Cell397","Cell397","Batch1","Group1",66255.479456485
"Cell398","Cell398","Batch1","Group2",71192.5740013194
"Cell399","Cell399","Batch1","Group1",53685.4617193447
"Cell400","Cell400","Batch1","Group2",92854.2815647998
"Cell401","Cell401","Batch1","Group2",49854.2080198666
"Cell402","Cell402","Batch1","Group1",75260.0807953491
"Cell403","Cell403","Batch1","Group2",77395.6876429632
"Cell404","Cell404","Batch1","Group1",70200.2975622532
"Cell405","Cell405","Batch1","Group1",95833.1486011615
"Cell406","Cell406","Batch1","Group1",66239.2821526894
"Cell407","Cell407","Batch1","Group2",40727.3231562219
"Cell408","Cell408","Batch1","Group2",58844.5375182464
"Cell409","Cell409","Batch1","Group2",47825.2885409734
"Cell410","Cell410","Batch1","Group2",73626.7216372494
"Cell411","Cell411","Batch1","Group1",72712.7197477709
"Cell412","Cell412","Batch1","Group1",54445.8084584049
"Cell413","Cell413","Batch1","Group2",45999.28046506
"Cell414","Cell414","Batch1","Group2",54910.3893973969
"Cell415","Cell415","Batch1","Group2",47097.8861236826
"Cell416","Cell416","Batch1","Group1",71557.4213432823
"Cell417","Cell417","Batch1","Group1",80282.0998746661
"Cell418","Cell418","Batch1","Group2",40617.8729731096
"Cell419","Cell419","Batch1","Group1",66723.820455947
"Cell420","Cell420","Batch1","Group1",81257.2985405237
"Cell421","Cell421","Batch1","Group2",58275.5765163803
"Cell422","Cell422","Batch1","Group1",68965.8953998563
"Cell423","Cell423","Batch1","Group1",61232.4071025405
"Cell424","Cell424","Batch1","Group1",41364.1238490796
"Cell425","Cell425","Batch1","Group1",60727.9199073427
"Cell426","Cell426","Batch1","Group1",51548.9705861944
"Cell427","Cell427","Batch1","Group2",75891.2601020238
"Cell428","Cell428","Batch1","Group1",45016.4338383401
"Cell429","Cell429","Batch1","Group1",88795.594299788
"Cell430","Cell430","Batch1","Group2",72544.2529044063
"Cell431","Cell431","Batch1","Group1",56787.7440794067
"Cell432","Cell432","Batch1","Group1",52717.7588813907
"Cell433","Cell433","Batch1","Group1",92830.7412823307
"Cell434","Cell434","Batch1","Group1",75520.1037548004
"Cell435","Cell435","Batch1","Group2",61504.8754577763
"Cell436","Cell436","Batch1","Group2",65471.6747588565
"Cell437","Cell437","Batch1","Group1",62170.5723004914
"Cell438","Cell438","Batch1","Group2",63193.7725276872
"Cell439","Cell439","Batch1","Group2",89600.411257859
"Cell440","Cell440","Batch1","Group1",56927.2883162715
"Cell441","Cell441","Batch1","Group2",66214.3530834772
"Cell442","Cell442","Batch1","Group1",65870.004989051
"Cell443","Cell443","Batch1","Group2",64320.7576064718
"Cell444","Cell444","Batch1","Group2",54356.8568603512
"Cell445","Cell445","Batch1","Group1",61519.7103790158
"Cell446","Cell446","Batch1","Group2",67099.344727198
"Cell447","Cell447","Batch1","Group1",73646.8840527372
"Cell448","Cell448","Batch1","Group2",54118.2186675526
"Cell449","Cell449","Batch1","Group1",51217.601147767
"Cell450","Cell450","Batch1","Group1",63122.6788303686
"Cell451","Cell451","Batch1","Group1",61082.5872160835
"Cell452","Cell452","Batch1","Group2",70304.6995182892
"Cell453","Cell453","Batch1","Group1",43226.6277115551
"Cell454","Cell454","Batch1","Group2",50896.2930197968
"Cell455","Cell455","Batch1","Group1",46067.3424164782
"Cell456","Cell456","Batch1","Group2",58444.9537964796
"Cell457","Cell457","Batch1","Group1",49270.0012572602
"Cell458","Cell458","Batch1","Group1",70321.9658581576
"Cell459","Cell459","Batch1","Group1",65934.6752112417
"Cell460","Cell460","Batch1","Group2",72850.7292000902
"Cell461","Cell461","Batch1","Group1",73066.592101705
"Cell462","Cell462","Batch1","Group1",63157.0370170009
"Cell463","Cell463","Batch1","Group1",64185.9190410562
"Cell464","Cell464","Batch1","Group2",55921.6299683857
"Cell465","Cell465","Batch1","Group1",63396.8645910788
"Cell466","Cell466","Batch1","Group1",59067.8150385992
"Cell467","Cell467","Batch1","Group2",58828.6257932767
"Cell468","Cell468","Batch1","Group2",60752.7270131582
"Cell469","Cell469","Batch1","Group1",52847.0923463921
"Cell470","Cell470","Batch1","Group2",36932.1512741947
"Cell471","Cell471","Batch1","Group1",78932.7087765635
"Cell472","Cell472","Batch1","Group2",73717.4591047498
"Cell473","Cell473","Batch1","Group1",55299.8096632674
"Cell474","Cell474","Batch1","Group2",61709.3382157661
"Cell475","Cell475","Batch1","Group1",44815.8121910553
"Cell476","Cell476","Batch1","Group1",72553.782728739
"Cell477","Cell477","Batch1","Group2",50588.2362952723
"Cell478","Cell478","Batch1","Group1",82260.8905584213
"Cell479","Cell479","Batch1","Group1",62260.5178069695
"Cell480","Cell480","Batch1","Group2",49607.3753913274
"Cell481","Cell481","Batch1","Group1",44616.3956697679
"Cell482","Cell482","Batch1","Group1",58976.6290498992
"Cell483","Cell483","Batch1","Group1",62973.9866554074
"Cell484","Cell484","Batch1","Group1",61051.343530106
"Cell485","Cell485","Batch1","Group2",53278.4614773523
"Cell486","Cell486","Batch1","Group2",69445.3859164582
"Cell487","Cell487","Batch1","Group2",37860.4005834078
"Cell488","Cell488","Batch1","Group2",48435.759368464
"Cell489","Cell489","Batch1","Group1",52159.7904600772
"Cell490","Cell490","Batch1","Group2",69464.9471818642
"Cell491","Cell491","Batch1","Group2",52421.9140309899
"Cell492","Cell492","Batch1","Group2",50535.4524665839
"Cell493","Cell493","Batch1","Group1",47613.6061032522
"Cell494","Cell494","Batch1","Group2",65790.3364896121
"Cell495","Cell495","Batch1","Group2",45299.9248094388
"Cell496","Cell496","Batch1","Group1",59227.7749212736
"Cell497","Cell497","Batch1","Group2",48460.5403125759
"Cell498","Cell498","Batch1","Group2",75994.0704060756
"Cell499","Cell499","Batch1","Group1",86820.9903471241
"Cell500","Cell500","Batch1","Group1",54743.1534359547
