"","Cell","Batch","Group","ExpLibSize"
"Cell96","Cell96","Batch1","Group2",53168.9978654149
"Cell97","Cell97","Batch1","Group2",54079.6464680849
"Cell98","Cell98","Batch1","Group2",54390.1723758876
"Cell99","Cell99","Batch1","Group1",49125.6514760051
"Cell100","Cell100","Batch1","Group2",66637.321830813
"Cell101","Cell101","Batch1","Group2",47811.6641763393
"Cell102","Cell102","Batch1","Group2",55031.6824092658
"Cell103","Cell103","Batch1","Group1",46721.1430294342
"Cell104","Cell104","Batch1","Group2",64469.5160130555
"Cell105","Cell105","Batch1","Group2",40929.2491209884
"Cell106","Cell106","Batch1","Group1",59720.8143602877
"Cell107","Cell107","Batch1","Group1",72618.4267414741
"Cell108","Cell108","Batch1","Group1",49787.2113312108
"Cell109","Cell109","Batch1","Group1",52174.5427158084
"Cell110","Cell110","Batch1","Group1",65515.4791550337
"Cell111","Cell111","Batch1","Group2",56767.0457746365
"Cell112","Cell112","Batch1","Group2",59937.1944392383
"Cell113","Cell113","Batch1","Group2",56413.5196822687
"Cell114","Cell114","Batch1","Group2",69200.5023193242
"Cell115","Cell115","Batch1","Group2",64442.5658774256
"Cell116","Cell116","Batch1","Group2",65308.4941805437
"Cell117","Cell117","Batch1","Group2",58436.7712024195
"Cell118","Cell118","Batch1","Group2",73766.9022263082
"Cell119","Cell119","Batch1","Group1",53376.670094237
"Cell120","Cell120","Batch1","Group2",60207.7264578858
"Cell121","Cell121","Batch1","Group2",47326.0413288179
"Cell122","Cell122","Batch1","Group1",63261.6972851586
"Cell123","Cell123","Batch1","Group2",64073.5483282597
"Cell124","Cell124","Batch1","Group1",68990.1948392665
"Cell125","Cell125","Batch1","Group2",49399.3066444915
"Cell126","Cell126","Batch1","Group2",56487.7322144055
"Cell127","Cell127","Batch1","Group2",55488.2656768454
"Cell128","Cell128","Batch1","Group2",68412.132065727
"Cell129","Cell129","Batch1","Group1",94401.2619716251
"Cell130","Cell130","Batch1","Group2",51952.3374126836
"Cell131","Cell131","Batch1","Group1",59872.7765542539
"Cell132","Cell132","Batch1","Group2",54530.7056134013
"Cell133","Cell133","Batch1","Group2",79795.3359174716
"Cell134","Cell134","Batch1","Group1",58958.8903043583
"Cell135","Cell135","Batch1","Group1",43595.4818565047
"Cell136","Cell136","Batch1","Group2",66181.0888186851
"Cell137","Cell137","Batch1","Group2",59599.7487018255
"Cell138","Cell138","Batch1","Group2",44623.2582652075
"Cell139","Cell139","Batch1","Group1",57484.6243123751
"Cell140","Cell140","Batch1","Group1",57432.5291594569
"Cell141","Cell141","Batch1","Group2",54270.0543669051
"Cell142","Cell142","Batch1","Group1",90165.6447898892
"Cell143","Cell143","Batch1","Group2",64737.8337422628
"Cell144","Cell144","Batch1","Group2",66445.7269725133
"Cell145","Cell145","Batch1","Group2",65032.9103151972
"Cell146","Cell146","Batch1","Group2",57910.9655176911
"Cell147","Cell147","Batch1","Group2",62287.879769981
"Cell148","Cell148","Batch1","Group1",68477.1809024694
"Cell149","Cell149","Batch1","Group2",45915.0099580921
"Cell150","Cell150","Batch1","Group2",54438.6606891605
"Cell151","Cell151","Batch1","Group1",53931.4556768727
"Cell152","Cell152","Batch1","Group1",47356.5294053115
"Cell153","Cell153","Batch1","Group2",85498.9564952839
"Cell154","Cell154","Batch1","Group2",52401.9484953848
"Cell155","Cell155","Batch1","Group1",41844.8517533251
"Cell156","Cell156","Batch1","Group2",50635.0671360188
"Cell157","Cell157","Batch1","Group1",45986.1724058599
"Cell158","Cell158","Batch1","Group1",59423.0472698617
"Cell159","Cell159","Batch1","Group2",72308.4976816858
"Cell160","Cell160","Batch1","Group2",81239.1506646984
"Cell161","Cell161","Batch1","Group1",53526.8407328954
"Cell162","Cell162","Batch1","Group2",85400.2178580596
"Cell163","Cell163","Batch1","Group2",52413.8124037186
"Cell164","Cell164","Batch1","Group1",49580.8936912319
"Cell165","Cell165","Batch1","Group1",58077.3862642042
"Cell166","Cell166","Batch1","Group2",65873.3972358447
"Cell167","Cell167","Batch1","Group2",70456.9106760056
"Cell168","Cell168","Batch1","Group1",73017.5492347237
"Cell169","Cell169","Batch1","Group2",51697.5576250656
"Cell170","Cell170","Batch1","Group1",37989.1703995047
"Cell171","Cell171","Batch1","Group2",101101.92229084
"Cell172","Cell172","Batch1","Group1",45636.9877312697
"Cell173","Cell173","Batch1","Group2",47806.542842591
"Cell174","Cell174","Batch1","Group2",62793.897124379
"Cell175","Cell175","Batch1","Group1",57740.5100813113
"Cell176","Cell176","Batch1","Group2",55236.6690297195
"Cell177","Cell177","Batch1","Group1",57469.3142591618
"Cell178","Cell178","Batch1","Group2",63971.3865947471
"Cell179","Cell179","Batch1","Group1",53561.3726929554
"Cell180","Cell180","Batch1","Group2",64895.7806352355
"Cell181","Cell181","Batch1","Group2",61227.6197208578
"Cell182","Cell182","Batch1","Group1",55939.0655851777
"Cell183","Cell183","Batch1","Group2",47069.5348980023
"Cell184","Cell184","Batch1","Group1",64084.9279863826
"Cell185","Cell185","Batch1","Group2",50350.4089019997
"Cell186","Cell186","Batch1","Group2",98937.4828234897
"Cell187","Cell187","Batch1","Group1",58078.7488769246
"Cell188","Cell188","Batch1","Group1",60211.6727100277
"Cell189","Cell189","Batch1","Group2",73744.1260900367
"Cell190","Cell190","Batch1","Group1",57066.1685847888
"Cell191","Cell191","Batch1","Group2",45457.1300293631
"Cell192","Cell192","Batch1","Group1",69210.4232535557
"Cell193","Cell193","Batch1","Group2",69447.8966874223
"Cell194","Cell194","Batch1","Group2",64706.7521300855
"Cell195","Cell195","Batch1","Group2",59161.8157866162
"Cell196","Cell196","Batch1","Group1",55242.5990860235
"Cell197","Cell197","Batch1","Group2",57680.608198252
"Cell198","Cell198","Batch1","Group1",53092.9309928107
"Cell199","Cell199","Batch1","Group1",49645.6058062045
"Cell200","Cell200","Batch1","Group1",68608.813823552
"Cell201","Cell201","Batch1","Group2",54654.0392318536
"Cell202","Cell202","Batch1","Group1",57721.817136145
"Cell203","Cell203","Batch1","Group2",72060.3694583352
"Cell204","Cell204","Batch1","Group2",53887.3936377784
"Cell205","Cell205","Batch1","Group1",57309.1269787073
"Cell206","Cell206","Batch1","Group2",56632.8088456225
"Cell207","Cell207","Batch1","Group1",42003.7180847184
"Cell208","Cell208","Batch1","Group2",53845.1236463934
"Cell209","Cell209","Batch1","Group2",56317.3603817526
"Cell210","Cell210","Batch1","Group1",65154.2386132327
"Cell211","Cell211","Batch1","Group1",50673.936963574
"Cell212","Cell212","Batch1","Group2",59082.6530013691
"Cell213","Cell213","Batch1","Group1",66525.2483166474
"Cell214","Cell214","Batch1","Group1",53646.9737557604
"Cell215","Cell215","Batch1","Group1",60506.5998461615
"Cell216","Cell216","Batch1","Group1",79339.6244302442
"Cell217","Cell217","Batch1","Group2",71074.3351861566
"Cell218","Cell218","Batch1","Group1",70709.4230790017
"Cell219","Cell219","Batch1","Group1",82029.2236257707
"Cell220","Cell220","Batch1","Group1",43288.3604666359
"Cell221","Cell221","Batch1","Group1",65937.4386546102
"Cell222","Cell222","Batch1","Group1",45361.8439436925
"Cell223","Cell223","Batch1","Group2",57959.9910135222
"Cell224","Cell224","Batch1","Group1",57137.4330888908
"Cell225","Cell225","Batch1","Group1",65234.6552500749
"Cell226","Cell226","Batch1","Group2",58050.7494260898
"Cell227","Cell227","Batch1","Group1",67055.1158764049
"Cell228","Cell228","Batch1","Group2",59258.0530230929
"Cell229","Cell229","Batch1","Group1",40568.6890778139
"Cell230","Cell230","Batch1","Group1",67096.1432822651
"Cell231","Cell231","Batch1","Group2",44607.4682906785
"Cell232","Cell232","Batch1","Group1",75508.6925465333
"Cell233","Cell233","Batch1","Group2",44996.7920588768
"Cell234","Cell234","Batch1","Group1",60389.142388969
"Cell235","Cell235","Batch1","Group1",49154.2497497899
"Cell236","Cell236","Batch1","Group1",36294.489504372
"Cell237","Cell237","Batch1","Group1",47929.4403092838
"Cell238","Cell238","Batch1","Group2",58768.956365261
"Cell239","Cell239","Batch1","Group1",45795.1565538109
"Cell240","Cell240","Batch1","Group2",56860.513486565
"Cell241","Cell241","Batch1","Group2",72314.841385085
"Cell242","Cell242","Batch1","Group1",68465.9616708298
"Cell243","Cell243","Batch1","Group1",55109.3170762544
"Cell244","Cell244","Batch1","Group1",58683.0910497752
"Cell245","Cell245","Batch1","Group2",50076.7612403701
"Cell246","Cell246","Batch1","Group1",63994.4407026982
"Cell247","Cell247","Batch1","Group1",66607.6234307444
"Cell248","Cell248","Batch1","Group2",72711.3535704931
"Cell249","Cell249","Batch1","Group2",56538.368715613
"Cell250","Cell250","Batch1","Group1",77780.1622500163
"Cell251","Cell251","Batch1","Group2",53688.8445255696
"Cell252","Cell252","Batch1","Group2",61809.9124148192
"Cell253","Cell253","Batch1","Group2",49798.2140079728
"Cell254","Cell254","Batch1","Group1",70991.5515984377
"Cell255","Cell255","Batch1","Group2",54658.6359181223
"Cell256","Cell256","Batch1","Group2",51204.9544067752
"Cell257","Cell257","Batch1","Group2",65835.5259941633
"Cell258","Cell258","Batch1","Group2",60529.4837483565
"Cell259","Cell259","Batch1","Group1",44638.8188901181
"Cell260","Cell260","Batch1","Group2",59158.2167872819
"Cell261","Cell261","Batch1","Group2",60109.5101330096
"Cell262","Cell262","Batch1","Group1",64060.0079773014
"Cell263","Cell263","Batch1","Group2",42129.7670946791
"Cell264","Cell264","Batch1","Group2",80774.519301958
"Cell265","Cell265","Batch1","Group2",52298.997250914
"Cell266","Cell266","Batch1","Group1",57539.3544551867
"Cell267","Cell267","Batch1","Group2",64638.0050416162
"Cell268","Cell268","Batch1","Group1",44470.2374903294
"Cell269","Cell269","Batch1","Group2",47911.0873209882
"Cell270","Cell270","Batch1","Group2",53618.1449741453
"Cell271","Cell271","Batch1","Group1",76948.0637160425
"Cell272","Cell272","Batch1","Group2",49703.0087929104
"Cell273","Cell273","Batch1","Group1",59804.6581040563
"Cell274","Cell274","Batch1","Group2",51818.9923540825
"Cell275","Cell275","Batch1","Group1",54977.6756226281
"Cell276","Cell276","Batch1","Group2",66576.1358631967
"Cell277","Cell277","Batch1","Group1",58738.7044617337
"Cell278","Cell278","Batch1","Group1",100207.890257977
"Cell279","Cell279","Batch1","Group2",73296.5133049841
"Cell280","Cell280","Batch1","Group2",53840.6838568946
"Cell281","Cell281","Batch1","Group2",82954.41380959
"Cell282","Cell282","Batch1","Group2",80074.1137912435
"Cell283","Cell283","Batch1","Group1",57823.3266480831
"Cell284","Cell284","Batch1","Group2",69788.5790539946
"Cell285","Cell285","Batch1","Group2",49650.1772183658
"Cell286","Cell286","Batch1","Group2",62795.3690043275
"Cell287","Cell287","Batch1","Group1",71432.4062266707
"Cell288","Cell288","Batch1","Group2",62219.953534849
"Cell289","Cell289","Batch1","Group1",96603.520359528
"Cell290","Cell290","Batch1","Group1",61016.5598542405
"Cell291","Cell291","Batch1","Group1",50125.8278506079
"Cell292","Cell292","Batch1","Group1",76348.3752875976
"Cell293","Cell293","Batch1","Group1",44291.4602085004
"Cell294","Cell294","Batch1","Group1",56819.2273137037
"Cell295","Cell295","Batch1","Group2",72570.4816834964
"Cell296","Cell296","Batch1","Group1",73199.4851899373
"Cell297","Cell297","Batch1","Group2",50904.0580145554
"Cell298","Cell298","Batch1","Group1",72049.787714017
"Cell299","Cell299","Batch1","Group2",56669.6451441535
"Cell300","Cell300","Batch1","Group1",86204.3343058261
"Cell301","Cell301","Batch1","Group1",59886.4580402159
"Cell302","Cell302","Batch1","Group1",54680.957815695
"Cell303","Cell303","Batch1","Group1",77093.1660692742
"Cell304","Cell304","Batch1","Group1",46511.5524965865
"Cell305","Cell305","Batch1","Group2",46689.3629557096
"Cell306","Cell306","Batch1","Group1",70384.9590262692
"Cell307","Cell307","Batch1","Group2",66976.5284462313
"Cell308","Cell308","Batch1","Group1",74071.9306853595
"Cell309","Cell309","Batch1","Group1",95615.8202694464
"Cell310","Cell310","Batch1","Group2",50243.2858421777
"Cell311","Cell311","Batch1","Group1",65934.9701666672
"Cell312","Cell312","Batch1","Group1",40488.1552225163
"Cell313","Cell313","Batch1","Group1",55925.1707113236
"Cell314","Cell314","Batch1","Group2",72232.1788806005
"Cell315","Cell315","Batch1","Group2",49236.2613736263
"Cell316","Cell316","Batch1","Group1",65256.5348991712
"Cell317","Cell317","Batch1","Group2",49067.1052170534
"Cell318","Cell318","Batch1","Group2",49493.3777297794
"Cell319","Cell319","Batch1","Group2",55732.9028940456
"Cell320","Cell320","Batch1","Group2",56257.8236501599
"Cell321","Cell321","Batch1","Group2",75299.7596026756
"Cell322","Cell322","Batch1","Group1",66019.6610314141
"Cell323","Cell323","Batch1","Group2",62103.1838849485
"Cell324","Cell324","Batch1","Group2",73042.8022785508
"Cell325","Cell325","Batch1","Group2",49893.0696114624
"Cell326","Cell326","Batch1","Group2",57508.1367289854
"Cell327","Cell327","Batch1","Group1",57231.5128267897
"Cell328","Cell328","Batch1","Group2",62725.0691691135
"Cell329","Cell329","Batch1","Group2",77085.8965955015
"Cell330","Cell330","Batch1","Group2",72910.4822283916
"Cell331","Cell331","Batch1","Group2",53340.4853863198
"Cell332","Cell332","Batch1","Group2",42738.2634776913
"Cell333","Cell333","Batch1","Group2",50229.5798011477
"Cell334","Cell334","Batch1","Group1",56801.8905857074
"Cell335","Cell335","Batch1","Group2",55208.3064802484
"Cell336","Cell336","Batch1","Group2",58622.3030585718
"Cell337","Cell337","Batch1","Group1",60221.7338843445
"Cell338","Cell338","Batch1","Group2",50454.604691344
"Cell339","Cell339","Batch1","Group1",63718.2214138541
"Cell340","Cell340","Batch1","Group1",66906.4179239872
"Cell341","Cell341","Batch1","Group1",65293.9918611366
"Cell342","Cell342","Batch1","Group1",51963.9737284487
"Cell343","Cell343","Batch1","Group1",50666.5169661084
"Cell344","Cell344","Batch1","Group2",45084.3090960699
"Cell345","Cell345","Batch1","Group2",54233.0357613893
"Cell346","Cell346","Batch1","Group2",79503.2479194396
"Cell347","Cell347","Batch1","Group2",48159.2203589657
"Cell348","Cell348","Batch1","Group1",55218.8700996868
"Cell349","Cell349","Batch1","Group2",41795.7148615578
"Cell350","Cell350","Batch1","Group1",59955.3598178397
"Cell351","Cell351","Batch1","Group1",62267.0000152361
"Cell352","Cell352","Batch1","Group2",44991.2703851355
"Cell353","Cell353","Batch1","Group1",68624.7811384709
"Cell354","Cell354","Batch1","Group2",66777.2017624317
"Cell355","Cell355","Batch1","Group2",50088.3177202524
"Cell356","Cell356","Batch1","Group2",44224.6272026934
"Cell357","Cell357","Batch1","Group1",50198.1179262828
"Cell358","Cell358","Batch1","Group2",78609.3247949406
"Cell359","Cell359","Batch1","Group1",74524.805293103
"Cell360","Cell360","Batch1","Group2",47530.6121942121
"Cell361","Cell361","Batch1","Group1",81691.1003526077
"Cell362","Cell362","Batch1","Group2",51149.8257584557
"Cell363","Cell363","Batch1","Group1",66359.589181211
"Cell364","Cell364","Batch1","Group1",45363.8206883437
"Cell365","Cell365","Batch1","Group2",76661.7663258328
"Cell366","Cell366","Batch1","Group2",63130.276483292
"Cell367","Cell367","Batch1","Group1",46987.0115371166
"Cell368","Cell368","Batch1","Group2",61234.7676243414
"Cell369","Cell369","Batch1","Group1",49755.5847481157
"Cell370","Cell370","Batch1","Group2",54514.5024603497
"Cell371","Cell371","Batch1","Group2",49950.5267516445
"Cell372","Cell372","Batch1","Group2",71381.9721361418
"Cell373","Cell373","Batch1","Group2",55593.0909853455
"Cell374","Cell374","Batch1","Group1",54736.6327925638
"Cell375","Cell375","Batch1","Group2",91009.5405913251
"Cell376","Cell376","Batch1","Group2",65230.445170493
"Cell377","Cell377","Batch1","Group2",41162.1630080745
"Cell378","Cell378","Batch1","Group2",52763.7056435089
"Cell379","Cell379","Batch1","Group2",52746.6893977836
"Cell380","Cell380","Batch1","Group1",67857.8716522093
"Cell381","Cell381","Batch1","Group2",72874.8994901317
"Cell382","Cell382","Batch1","Group1",80778.4516873818
"Cell383","Cell383","Batch1","Group2",57694.5646528498
"Cell384","Cell384","Batch1","Group1",43104.8074537061
"Cell385","Cell385","Batch1","Group2",41883.3033151138
"Cell386","Cell386","Batch1","Group1",54371.7305460761
"Cell387","Cell387","Batch1","Group2",80802.3319641834
"Cell388","Cell388","Batch1","Group2",53870.2230069046
"Cell389","Cell389","Batch1","Group2",63060.4756130507
"Cell390","Cell390","Batch1","Group1",47553.0526204204
"Cell391","Cell391","Batch1","Group1",62538.3149958431
"Cell392","Cell392","Batch1","Group1",47233.5565231114
"Cell393","Cell393","Batch1","Group1",79089.5469877481
"Cell394","Cell394","Batch1","Group2",67749.0821798187
"Cell395","Cell395","Batch1","Group2",44119.8885388578
"Cell396","Cell396","Batch1","Group1",42120.9969269616
"Cell397","Cell397","Batch1","Group2",65424.5954737168
"Cell398","Cell398","Batch1","Group1",75065.6448062313
"Cell399","Cell399","Batch1","Group2",49736.4775703749
"Cell400","Cell400","Batch1","Group2",56631.2317577889
"Cell401","Cell401","Batch1","Group2",70500.6043300688
"Cell402","Cell402","Batch1","Group1",54179.3489775257
"Cell403","Cell403","Batch1","Group2",61505.8614065202
"Cell404","Cell404","Batch1","Group2",64242.0137298546
"Cell405","Cell405","Batch1","Group2",37209.3011891059
"Cell406","Cell406","Batch1","Group2",51536.6743757698
"Cell407","Cell407","Batch1","Group2",53907.8261320348
"Cell408","Cell408","Batch1","Group2",61576.2534920828
"Cell409","Cell409","Batch1","Group2",60797.6487804682
"Cell410","Cell410","Batch1","Group2",104163.646636784
"Cell411","Cell411","Batch1","Group1",53499.0162160611
"Cell412","Cell412","Batch1","Group1",51188.6869403253
"Cell413","Cell413","Batch1","Group2",64759.458769048
"Cell414","Cell414","Batch1","Group2",87127.3307154302
"Cell415","Cell415","Batch1","Group2",52946.6760197246
"Cell416","Cell416","Batch1","Group2",54181.7794724557
"Cell417","Cell417","Batch1","Group2",89013.1438781402
"Cell418","Cell418","Batch1","Group1",46449.5506727522
"Cell419","Cell419","Batch1","Group2",43224.1939412261
"Cell420","Cell420","Batch1","Group2",62779.3883887186
"Cell421","Cell421","Batch1","Group1",42980.4003081482
"Cell422","Cell422","Batch1","Group1",69759.8138097612
"Cell423","Cell423","Batch1","Group2",55469.6484968041
"Cell424","Cell424","Batch1","Group1",56446.5031996001
"Cell425","Cell425","Batch1","Group1",49461.9407051523
"Cell426","Cell426","Batch1","Group2",46292.6451858878
"Cell427","Cell427","Batch1","Group2",48677.7418141683
"Cell428","Cell428","Batch1","Group1",41350.2117274695
"Cell429","Cell429","Batch1","Group1",51603.0246842214
"Cell430","Cell430","Batch1","Group1",64962.414835928
"Cell431","Cell431","Batch1","Group1",45520.8409766613
"Cell432","Cell432","Batch1","Group1",62136.6812340455
"Cell433","Cell433","Batch1","Group1",61403.7749297562
"Cell434","Cell434","Batch1","Group2",49897.1684712071
"Cell435","Cell435","Batch1","Group2",48043.4907733274
"Cell436","Cell436","Batch1","Group2",50573.2341973672
"Cell437","Cell437","Batch1","Group1",47301.3555842012
"Cell438","Cell438","Batch1","Group1",61374.406821978
"Cell439","Cell439","Batch1","Group2",69894.8189760488
"Cell440","Cell440","Batch1","Group1",64678.1939603581
"Cell441","Cell441","Batch1","Group1",69892.9513065628
"Cell442","Cell442","Batch1","Group2",68950.3188832843
"Cell443","Cell443","Batch1","Group2",45741.7600420357
"Cell444","Cell444","Batch1","Group1",59475.3183193464
"Cell445","Cell445","Batch1","Group2",57097.9498062142
"Cell446","Cell446","Batch1","Group1",63280.7989155826
"Cell447","Cell447","Batch1","Group2",86325.5142179028
"Cell448","Cell448","Batch1","Group1",57785.7625362751
"Cell449","Cell449","Batch1","Group1",77579.304212731
"Cell450","Cell450","Batch1","Group1",62211.1252526308
"Cell451","Cell451","Batch1","Group2",70011.4456695621
"Cell452","Cell452","Batch1","Group1",46869.054145317
"Cell453","Cell453","Batch1","Group1",35647.8800302186
"Cell454","Cell454","Batch1","Group2",53816.7424919369
"Cell455","Cell455","Batch1","Group2",62179.3921289442
"Cell456","Cell456","Batch1","Group2",39931.6945138925
"Cell457","Cell457","Batch1","Group1",73140.4724037794
"Cell458","Cell458","Batch1","Group2",72734.435658522
"Cell459","Cell459","Batch1","Group2",63915.9682213034
"Cell460","Cell460","Batch1","Group2",46684.3408520761
"Cell461","Cell461","Batch1","Group1",63775.8368003488
"Cell462","Cell462","Batch1","Group1",36185.5736076974
"Cell463","Cell463","Batch1","Group2",64357.7376928044
"Cell464","Cell464","Batch1","Group2",67353.7840373566
"Cell465","Cell465","Batch1","Group1",61998.5485301098
"Cell466","Cell466","Batch1","Group2",87362.0621212211
"Cell467","Cell467","Batch1","Group2",78048.3440448123
"Cell468","Cell468","Batch1","Group2",59017.0910119175
"Cell469","Cell469","Batch1","Group1",67232.1369952839
"Cell470","Cell470","Batch1","Group1",52731.1961294565
"Cell471","Cell471","Batch1","Group1",67848.3956168877
"Cell472","Cell472","Batch1","Group2",68274.5386585188
"Cell473","Cell473","Batch1","Group2",75410.1085626071
"Cell474","Cell474","Batch1","Group1",83095.3900049487
"Cell475","Cell475","Batch1","Group2",78425.2476341882
"Cell476","Cell476","Batch1","Group1",55213.5662280735
"Cell477","Cell477","Batch1","Group1",51672.7850781461
"Cell478","Cell478","Batch1","Group1",60901.5764812465
"Cell479","Cell479","Batch1","Group2",77975.5216085209
"Cell480","Cell480","Batch1","Group1",51001.8390825222
"Cell481","Cell481","Batch1","Group1",44161.1858163386
"Cell482","Cell482","Batch1","Group2",77215.6425890537
"Cell483","Cell483","Batch1","Group2",53783.543581716
"Cell484","Cell484","Batch1","Group2",47854.3739472106
"Cell485","Cell485","Batch1","Group2",61383.2121391111
"Cell486","Cell486","Batch1","Group2",52614.6869815033
"Cell487","Cell487","Batch1","Group1",93045.6670355044
"Cell488","Cell488","Batch1","Group2",64044.1011639124
"Cell489","Cell489","Batch1","Group2",42103.7744113459
"Cell490","Cell490","Batch1","Group1",66840.1686338308
"Cell491","Cell491","Batch1","Group2",97765.0667818465
"Cell492","Cell492","Batch1","Group1",60212.3260590765
"Cell493","Cell493","Batch1","Group2",61057.7585452001
"Cell494","Cell494","Batch1","Group1",53612.1067001076
"Cell495","Cell495","Batch1","Group2",45176.4006780377
"Cell496","Cell496","Batch1","Group2",74250.8277286963
"Cell497","Cell497","Batch1","Group1",48867.0389033261
"Cell498","Cell498","Batch1","Group1",62634.7322934594
"Cell499","Cell499","Batch1","Group1",58974.2794255668
"Cell500","Cell500","Batch1","Group1",51870.6037429364
